id,name,lat,lng,total_votes,turnout,margin,winning_party,tmc_share,bjp_share,cpim_share,inc_share,others_share,urbanization,literacy,income,cluster
72,Constituency 72,22.992857142857144,86.22857142857143,193987,71.84,5.52,BJP,41.93,47.46,5.62,1.12,3.87,49.5,66.28,47.93,2
73,Constituency 73,22.992857142857144,86.5142857142857,173912,83.77,3.64,BJP,37.41,41.05,13.47,1.0,7.08,10.0,72.03,33.07,3
74,Constituency 74,22.992857142857144,86.80000000000001,216877,79.01,4.37,TMC,40.14,35.77,11.06,8.02,5.01,20.08,70.3,28.78,3
75,Constituency 75,22.992857142857144,87.08571428571429,190168,77.52,8.09,TMC,44.37,36.28,0.97,11.63,6.75,10.0,72.05,43.58,3
76,Constituency 76,22.992857142857144,87.37142857142857,204213,81.96,3.12,TMC,40.84,37.72,7.36,6.63,7.45,24.79,64.95,54.05,1
77,Constituency 77,22.992857142857144,87.65714285714284,176935,78.66,9.01,TMC,46.39,37.37,8.0,2.72,5.52,35.59,71.72,39.56,3
78,Constituency 78,22.992857142857144,87.94285714285715,164328,73.95,5.68,TMC,46.32,40.64,0.94,5.56,6.55,40.68,83.92,62.75,0
79,Constituency 79,22.992857142857144,88.22857142857143,157001,78.73,17.18,TMC,47.28,30.09,5.84,13.22,3.56,35.49,85.83,58.21,0
80,Constituency 80,22.992857142857144,88.5142857142857,198734,82.61,2.8,TMC,41.11,38.31,8.87,6.75,4.95,26.51,83.24,73.19,0
81,Constituency 81,22.992857142857144,88.80000000000001,194053,76.04,0.64,BJP,42.69,43.33,4.92,8.02,1.04,18.26,70.26,28.02,3
82,Constituency 82,22.992857142857144,89.08571428571429,188639,78.86,14.17,TMC,48.91,34.74,13.22,1.05,2.06,40.12,72.67,65.89,0
83,Constituency 83,22.992857142857144,89.37142857142857,246550,80.16,19.89,TMC,52.63,32.74,10.57,3.03,1.03,16.71,60.91,51.99,1
84,Constituency 84,22.992857142857144,89.65714285714284,231144,76.9,0.29,BJP,39.68,39.97,11.3,4.18,4.88,27.06,68.27,51.6,1
85,Constituency 85,23.264285714285716,85.94285714285715,218843,71.08,2.29,TMC,39.81,37.52,8.12,10.32,4.23,38.02,72.87,54.34,0
86,Constituency 86,23.264285714285716,86.22857142857143,221409,73.31,11.05,TMC,49.38,38.33,0.95,3.77,7.57,22.58,81.81,46.01,3
87,Constituency 87,23.264285714285716,86.5142857142857,175669,75.57,8.31,TMC,50.42,42.1,2.6,3.81,1.07,10.0,73.38,40.58,3
88,Constituency 88,23.264285714285716,86.80000000000001,144995,86.41,13.6,TMC,47.09,33.49,9.1,1.0,9.32,52.27,83.3,54.28,2
89,Constituency 89,23.264285714285716,87.08571428571429,193599,87.47,7.55,TMC,47.12,39.57,1.03,8.74,3.54,25.99,80.81,30.37,3
90,Constituency 90,23.264285714285716,87.37142857142857,256507,85.08,17.21,TMC,50.34,33.12,8.29,5.25,3.0,10.0,67.24,63.5,1
91,Constituency 91,23.264285714285716,87.65714285714284,161640,83.33,4.7,TMC,38.87,34.17,13.9,2.98,10.08,12.77,76.87,50.63,1
92,Constituency 92,23.264285714285716,87.94285714285715,184189,79.68,1.56,TMC,36.18,34.62,7.85,13.7,7.65,40.19,82.08,38.27,2
93,Constituency 93,23.264285714285716,88.22857142857143,228451,81.79,14.79,TMC,46.3,31.51,6.03,5.78,10.39,65.13,87.15,49.46,2
94,Constituency 94,23.264285714285716,88.5142857142857,175771,83.3,1.19,TMC,38.57,37.39,9.5,9.12,5.42,50.48,57.55,52.05,2
95,Constituency 95,23.264285714285716,88.80000000000001,211737,73.6,11.74,TMC,44.92,33.17,11.79,4.48,5.64,27.42,76.81,60.59,1
96,Constituency 96,23.264285714285716,89.08571428571429,215770,78.35,9.0,TMC,46.56,37.56,7.07,3.12,5.68,27.0,91.01,32.65,3
97,Constituency 97,23.264285714285716,89.37142857142857,218904,78.17,9.56,TMC,47.21,37.65,11.54,2.57,1.03,26.99,75.14,55.96,1
98,Constituency 98,23.264285714285716,89.65714285714284,219531,86.81,1.71,BJP,40.99,42.69,11.76,1.01,3.55,62.2,88.49,59.88,2
99,Constituency 99,23.535714285714285,85.94285714285715,207158,79.99,12.18,TMC,49.0,36.82,10.5,1.15,2.54,54.2,96.28,59.64,0
100,Constituency 100,23.535714285714285,86.22857142857143,225725,79.76,1.57,BJP,37.02,38.59,10.71,7.73,5.94,10.0,82.21,56.64,1
101,Constituency 101,23.535714285714285,86.5142857142857,179327,83.44,1.28,BJP,34.21,35.49,10.93,6.88,12.49,53.69,65.78,30.55,2
102,Constituency 102,23.535714285714285,86.80000000000001,196890,81.34,10.0,TMC,47.09,37.09,1.16,13.51,1.16,36.96,76.05,57.28,0
103,Constituency 103,23.535714285714285,87.08571428571429,179188,80.82,10.52,TMC,45.77,35.25,6.72,1.63,10.63,29.32,82.48,34.26,3
104,Constituency 104,23.535714285714285,87.37142857142857,195711,83.39,11.45,TMC,49.84,38.39,6.45,4.18,1.14,41.8,92.18,51.25,0
105,Constituency 105,23.535714285714285,87.65714285714284,202692,83.74,10.6,TMC,43.69,33.09,11.63,8.57,3.03,18.11,76.75,39.45,3
106,Constituency 106,23.535714285714285,87.94285714285715,213728,85.12,7.78,TMC,47.05,39.27,10.72,1.05,1.91,24.0,79.19,62.6,1
107,Constituency 107,23.535714285714285,88.22857142857143,135286,86.84,14.19,TMC,54.21,40.02,3.48,1.15,1.15,10.0,72.67,66.19,1
108,Constituency 108,23.535714285714285,88.5142857142857,197225,79.99,12.48,TMC,42.97,30.5,6.43,3.81,16.29,44.68,55.67,73.69,0
109,Constituency 109,23.535714285714285,88.80000000000001,206521,86.71,5.02,TMC,44.2,39.18,2.16,7.93,6.54,23.13,77.15,65.39,1
110,Constituency 110,23.535714285714285,89.08571428571429,226183,75.04,5.58,BJP,34.6,40.17,9.39,7.71,8.14,24.06,85.24,24.02,3
111,Constituency 111,23.535714285714285,89.37142857142857,206665,73.15,8.36,BJP,31.73,40.1,5.59,13.12,9.46,28.99,84.97,51.43,0
112,Constituency 112,23.535714285714285,89.65714285714284,151535,78.74,0.57,TMC,42.9,42.33,3.23,3.74,7.8,42.12,69.75,62.76,0
113,Constituency 113,23.807142857142857,85.94285714285715,220766,84.78,0.5,BJP,40.99,41.49,11.72,4.66,1.15,48.01,59.43,67.05,0
114,Constituency 114,23.807142857142857,86.22857142857143,195076,77.86,18.29,TMC,49.84,31.56,7.89,6.94,3.77,27.1,69.25,45.92,3
115,Constituency 115,23.807142857142857,86.5142857142857,205037,69.41,4.72,TMC,44.37,39.64,1.0,6.67,8.32,10.0,72.28,36.91,3
116,Constituency 116,23.807142857142857,86.80000000000001,203989,73.48,14.76,TMC,44.9,30.14,11.93,10.86,2.17,36.81,68.64,71.79,0
117,Constituency 117,23.807142857142857,87.08571428571429,214833,74.71,17.94,TMC,49.33,31.39,4.02,11.67,3.6,17.47,87.57,64.29,1
118,Constituency 118,23.807142857142857,87.37142857142857,210974,77.72,10.14,TMC,49.32,39.18,2.87,7.64,0.98,43.91,66.49,47.28,2
119,Constituency 119,23.807142857142857,87.65714285714284,168670,81.87,1.35,TMC,39.71,38.36,5.69,13.92,2.32,37.57,60.75,68.86,0
120,Constituency 120,23.807142857142857,87.94285714285715,127220,76.48,2.73,TMC,42.0,39.27,2.19,4.48,12.06,30.8,78.66,22.54,3
121,Constituency 121,23.807142857142857,88.22857142857143,157627,84.61,0.86,TMC,43.81,42.95,1.95,3.23,8.06,37.74,80.14,67.74,0
122,Constituency 122,23.807142857142857,88.5142857142857,178177,86.46,7.26,TMC,46.44,39.18,6.54,1.0,6.84,10.0,69.13,56.67,1
123,Constituency 123,23.807142857142857,88.80000000000001,285173,74.05,0.2,BJP,42.97,43.17,3.18,0.97,9.71,36.54,78.84,47.77,0
124,Constituency 124,23.807142857142857,89.08571428571429,140982,72.18,1.7,TMC,47.05,45.35,5.6,1.0,1.0,30.71,90.3,63.27,0
125,Constituency 125,23.807142857142857,89.37142857142857,154717,73.8,21.68,TMC,58.22,36.55,2.68,1.15,1.4,48.29,60.81,74.43,0
126,Constituency 126,23.807142857142857,89.65714285714284,147398,78.91,9.78,TMC,45.21,35.44,8.92,0.97,9.46,35.54,71.91,50.49,0
127,Constituency 127,24.07857142857143,85.94285714285715,205860,83.01,4.6,TMC,39.29,34.68,2.11,11.66,12.26,49.3,54.19,35.76,2
128,Constituency 128,24.07857142857143,86.22857142857143,196757,71.14,1.92,TMC,40.22,38.3,7.34,10.81,3.33,10.0,72.96,71.26,1
129,Constituency 129,24.07857142857143,86.5142857142857,157083,90.69,18.07,TMC,51.77,33.7,0.94,8.54,5.05,27.38,81.14,45.03,3
130,Constituency 130,24.07857142857143,86.80000000000001,207076,76.9,7.73,TMC,48.4,40.67,8.33,1.09,1.52,35.45,75.85,71.58,0
131,Constituency 131,24.07857142857143,87.08571428571429,233214,82.05,13.62,TMC,50.46,36.83,7.58,1.08,4.05,24.61,81.99,51.65,1
132,Constituency 132,24.07857142857143,87.37142857142857,180313,79.77,3.85,TMC,45.6,41.76,8.59,2.94,1.11,41.33,73.72,70.82,0
133,Constituency 133,24.07857142857143,87.65714285714284,200512,79.14,5.12,TMC,46.71,41.59,1.06,3.15,7.48,34.88,80.13,53.9,0
134,Constituency 134,24.07857142857143,87.94285714285715,178322,85.85,15.67,TMC,49.54,33.86,4.71,10.85,1.04,46.97,77.88,48.5,2
135,Constituency 135,24.07857142857143,88.22857142857143,188290,84.0,8.18,TMC,40.82,32.64,12.33,11.51,2.71,10.0,60.5,46.48,1
136,Constituency 136,24.07857142857143,88.5142857142857,188383,76.65,11.41,TMC,42.7,31.28,2.36,9.03,14.63,10.0,57.55,50.63,1
137,Constituency 137,24.07857142857143,88.80000000000001,224577,79.64,7.36,BJP,34.29,41.65,7.71,15.42,0.93,23.55,81.76,47.11,3
138,Constituency 138,24.07857142857143,89.08571428571429,184643,81.74,12.98,TMC,47.28,34.3,4.08,4.38,9.96,28.18,78.47,37.52,3
139,Constituency 139,24.07857142857143,89.37142857142857,192094,76.13,0.33,TMC,41.04,40.71,3.45,2.45,12.35,30.04,80.82,48.35,3
140,Constituency 140,24.07857142857143,89.65714285714284,203534,90.65,14.72,TMC,45.3,30.59,6.02,8.22,9.87,42.89,78.87,52.02,0
141,Constituency 141,24.35,85.94285714285715,169131,68.55,15.58,TMC,50.18,34.6,1.18,3.46,10.58,62.29,72.82,59.71,2
142,Constituency 142,24.35,86.22857142857143,216391,72.84,8.57,TMC,43.43,34.86,4.8,4.55,12.36,35.86,81.5,65.37,0
143,Constituency 143,24.35,86.5142857142857,191719,82.9,0.05,TMC,36.71,36.65,12.07,7.6,6.98,51.81,82.63,43.98,2
144,Constituency 144,24.35,86.80000000000001,200555,77.3,8.96,TMC,45.03,36.07,10.57,7.35,0.98,18.77,76.1,66.81,1
145,Constituency 145,24.35,87.08571428571429,240813,85.52,12.64,TMC,48.02,35.38,6.59,7.33,2.68,20.72,72.19,59.16,1
146,Constituency 146,24.35,87.37142857142857,146759,81.9,2.32,TMC,39.17,36.85,9.56,10.71,3.7,18.96,68.35,28.09,3
147,Constituency 147,24.35,87.65714285714284,187058,75.27,9.49,TMC,41.79,32.3,8.85,12.49,4.56,16.19,84.0,26.01,3
148,Constituency 148,24.35,87.94285714285715,216561,83.47,23.51,TMC,53.8,30.3,8.19,1.17,6.54,47.06,81.36,36.86,2
149,Constituency 149,24.35,88.22857142857143,198465,82.38,0.84,BJP,37.09,37.93,6.74,2.34,15.89,10.0,73.76,82.09,1
150,Constituency 150,24.35,88.5142857142857,212886,83.88,1.51,TMC,38.96,37.45,13.25,5.11,5.23,24.8,78.19,46.96,3
151,Constituency 151,24.35,88.80000000000001,131280,71.82,2.51,TMC,37.71,35.2,8.94,5.11,13.03,12.23,71.62,26.38,3
152,Constituency 152,24.35,89.08571428571429,220687,85.07,1.79,TMC,36.47,34.68,12.55,9.11,7.18,34.62,66.07,20.11,3
153,Constituency 153,24.35,89.37142857142857,214875,79.47,2.89,TMC,43.01,40.12,8.62,6.6,1.66,61.65,64.61,54.79,2
154,Constituency 154,24.35,89.65714285714284,173169,83.56,7.53,BJP,35.07,42.6,8.77,12.62,0.94,10.0,67.31,38.33,3
155,Constituency 155,24.62142857142857,85.94285714285715,174510,82.29,20.7,TMC,54.85,34.15,2.12,7.72,1.16,24.08,58.57,77.04,1
156,Constituency 156,24.62142857142857,86.22857142857143,181419,74.97,14.24,TMC,46.46,32.23,7.31,13.17,0.83,72.4,98.14,49.36,2
157,Constituency 157,24.62142857142857,86.5142857142857,191540,82.33,7.95,TMC,42.39,34.44,7.84,14.29,1.03,34.58,81.7,57.82,0
158,Constituency 158,24.62142857142857,86.80000000000001,197264,83.66,5.12,TMC,44.78,39.67,8.98,5.62,0.95,10.0,61.69,58.24,1
159,Constituency 159,24.62142857142857,87.08571428571429,176790,85.77,14.2,TMC,47.8,33.61,1.09,7.05,10.45,10.0,76.38,54.78,1
160,Constituency 160,24.62142857142857,87.37142857142857,169270,75.09,8.63,TMC,41.69,33.05,9.6,14.75,0.91,10.0,83.6,53.5,1
161,Constituency 161,24.62142857142857,87.65714285714284,176183,76.24,21.61,TMC,49.39,27.78,8.85,1.04,12.93,25.16,75.38,66.51,1
162,Constituency 162,24.62142857142857,87.94285714285715,198373,81.3,20.1,TMC,51.31,31.21,4.27,9.14,4.08,42.63,78.86,45.69,2
163,Constituency 163,24.62142857142857,88.22857142857143,228461,95.0,6.4,TMC,42.47,36.07,7.43,3.2,10.84,10.0,65.22,43.88,3
164,Constituency 164,24.62142857142857,88.5142857142857,187204,80.87,2.36,BJP,45.87,48.23,1.1,3.71,1.1,57.87,64.78,40.7,2
165,Constituency 165,24.62142857142857,88.80000000000001,154138,76.38,0.85,BJP,39.63,40.48,4.97,4.83,10.09,32.45,69.94,74.42,0
166,Constituency 166,24.62142857142857,89.08571428571429,215773,77.84,0.6,TMC,35.26,34.67,11.72,11.8,6.55,31.67,81.66,49.7,0
167,Constituency 167,24.62142857142857,89.37142857142857,201265,84.66,10.65,TMC,50.38,39.73,4.71,4.22,0.97,32.77,71.47,61.02,0
168,Constituency 168,24.62142857142857,89.65714285714284,224076,79.36,6.07,BJP,36.61,42.68,6.81,0.84,13.06,41.6,74.91,41.25,2
169,Constituency 169,24.892857142857142,85.94285714285715,190534,70.03,7.35,TMC,46.85,39.5,5.95,5.74,1.95,48.46,68.81,62.76,0
170,Constituency 170,24.892857142857142,86.22857142857143,188374,71.79,18.45,TMC,51.58,33.13,6.49,5.91,2.88,16.74,72.09,31.23,3
171,Constituency 171,24.892857142857142,86.5142857142857,213230,83.44,3.8,BJP,45.29,49.09,0.99,0.99,3.65,10.0,72.73,46.73,3
172,Constituency 172,24.892857142857142,86.80000000000001,154035,84.67,3.51,TMC,40.11,36.61,4.0,7.4,11.88,46.46,84.66,70.57,0
173,Constituency 173,24.892857142857142,87.08571428571429,142818,79.71,11.67,TMC,45.49,33.82,14.87,0.86,4.97,24.46,80.12,41.0,3
174,Constituency 174,24.892857142857142,87.37142857142857,212056,74.28,16.2,TMC,47.94,31.74,4.43,9.22,6.68,34.79,88.08,32.73,3
175,Constituency 175,24.892857142857142,87.65714285714284,214161,77.13,11.29,TMC,44.45,33.16,6.38,3.08,12.93,30.44,73.93,47.81,3
176,Constituency 176,24.892857142857142,87.94285714285715,233090,83.62,1.47,TMC,41.35,39.88,5.56,12.24,0.97,33.57,79.03,46.56,0
177,Constituency 177,24.892857142857142,88.22857142857143,208965,82.86,3.81,TMC,41.33,37.52,15.71,4.57,0.86,41.22,80.57,36.02,2
178,Constituency 178,24.892857142857142,88.5142857142857,206565,81.63,8.41,TMC,42.86,34.45,12.21,0.78,9.7,31.55,78.82,42.22,3
179,Constituency 179,24.892857142857142,88.80000000000001,162640,79.26,2.95,TMC,43.86,40.91,9.32,4.95,0.96,49.88,75.73,28.41,2
180,Constituency 180,24.892857142857142,89.08571428571429,191654,80.53,1.64,TMC,43.06,41.43,7.0,2.31,6.2,12.57,100.0,46.1,3
181,Constituency 181,24.892857142857142,89.37142857142857,201281,81.89,0.38,TMC,41.72,41.34,7.23,4.22,5.49,38.14,74.72,58.09,0
182,Constituency 182,24.892857142857142,89.65714285714284,166669,81.03,3.53,TMC,37.24,33.71,11.34,5.57,12.15,14.82,74.33,79.64,1
183,Constituency 183,25.164285714285715,85.94285714285715,213896,83.76,5.07,TMC,49.99,44.92,2.65,1.22,1.22,19.34,76.02,20.0,3
184,Constituency 184,25.164285714285715,86.22857142857143,249249,77.9,12.29,TMC,44.86,32.57,12.32,6.88,3.37,38.98,81.65,31.78,3
185,Constituency 185,25.164285714285715,86.5142857142857,158034,74.4,13.51,TMC,54.26,40.75,2.32,1.33,1.33,30.34,73.37,47.48,3
186,Constituency 186,25.164285714285715,86.80000000000001,214995,73.18,5.27,TMC,44.28,39.01,8.09,2.0,6.62,19.31,75.1,36.98,3
187,Constituency 187,25.164285714285715,87.08571428571429,243737,83.89,7.75,TMC,46.97,39.21,5.78,6.98,1.05,42.37,74.08,37.75,2
188,Constituency 188,25.164285714285715,87.37142857142857,222233,77.25,4.93,TMC,38.84,33.9,5.76,13.92,7.58,52.24,72.55,20.97,2
